spotify_id,title,artist,year,popularity,duration_ms,image_url
3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,Britney Spears,1999,79,211066,https://i.scdn.co/image/ab67616d0000b2738e49866860c25afffe2f1a02
6iX1f3r7oUJnMbGgQ2gx1j,867-5309 / Jenny,Tommy Tutone,1981,65,226200,https://i.scdn.co/image/ab67616d0000b273de364a9a587331dbf00aaae7
4w3tQBXhn5345eUXDGBWZG,9 to 5,Dolly Parton,1980,77,162466,https://i.scdn.co/image/ab67616d0000b273060ccf36ab5b0e0a739799ec
1hwdPQtFHISvZ9SXMkNrIK,A Whole New World,"Lea Salonga, Brad Kane, Disney",2004,69,160800,https://i.scdn.co/image/ab67616d0000b2734a4b92dcf7a5c51cc4f7424c
2374M0fQpWi3dLnB54qaLX,Africa,TOTO,1982,84,295893,https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b
3A6nR4GSolo160nu7xtDk7,All My Favorite Songs (feat. AJR),"Weezer, AJR",2021,63,170720,https://i.scdn.co/image/ab67616d0000b27352004504b4600d0293d2eb57
2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,blink-182,1999,81,167066,https://i.scdn.co/image/ab67616d0000b2736da502e35a7a3e48de2b0f74
57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,Queen,1980,74,214653,https://i.scdn.co/image/ab67616d0000b27307744e2ed983efa3e6620a47
6epn3r7S14KUqlReYr77hA,Baby,"Justin Bieber, Ludacris",2010,82,214240,https://i.scdn.co/image/ab67616d0000b273629dc9e2e3bc20bbd7d92e4a
273dCMFseLcVsoSWx59IoE,Bad Blood,Taylor Swift,2014,67,211933,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
4KcH1ZRV2W1q7Flq0QqC76,Blitzkrieg Bop - 2016 Remaster,Ramones,1976,72,134466,https://i.scdn.co/image/ab67616d0000b273db687db0afb257abdee10816
5GorCbAP4aL0EJ16frG2hd,Boulevard of Broken Dreams,Green Day,2017,77,262333,https://i.scdn.co/image/ab67616d0000b2737f213369d5265a60af5f7e82
1mWdTewIgB3gtBM3TOSFhB,Butter,BTS,2021,82,164441,https://i.scdn.co/image/ab67616d0000b273240447f2da1433d8f4303596
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,*NSYNC,2000,72,200400,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909
48UPSzbZjgc449aqz8bxox,Californication,Red Hot Chili Peppers,1999,82,329733,https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595
7HKxTNVlkHsfMLhigmhC0I,Call Me,Blondie,2004,68,212226,https://i.scdn.co/image/ab67616d0000b27313cbe3e4dfa81fe5b91f2f1c
3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,Carly Rae Jepsen,2012,73,193400,https://i.scdn.co/image/ab67616d0000b273a111f7769013f1731e9c697c
67HKtdqchK0rmODxsBeWT8,Can You Feel The Love Tonight,Elton John,1995,58,240000,https://i.scdn.co/image/ab67616d0000b273285a5c29d3b2d05895781820
