title,artist,number_of_singers,year,popularity,duration_ms,image_url
Don't Stop Believin',Journey,1,1981,85,250986,https://i.scdn.co/image/ab67616d0000b273c5653f9038e42efad2f8a266
Shallow,"Lady Gaga, Bradley Cooper",2,2018,87,215733,https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342
Wannabe,Spice Girls,1,1996,84,173026,https://i.scdn.co/image/ab67616d0000b27363facc42e4a35eb3aa182b59
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1,1987,85,291293,https://i.scdn.co/image/ab67616d0000b273cc57e9b00b87dd0f6e868347
Love Shack,The B-52's,1,1989,75,320680,https://i.scdn.co/image/ab67616d0000b27393bf4c5e67f6a72149d94c94
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",2,1967,84,151666,https://i.scdn.co/image/ab67616d0000b2739173e50e99bdea2400222f02
I Want You Back,The Jackson 5,1,1969,80,176333,https://i.scdn.co/image/ab67616d0000b27316aaf05fe82237576a7d0e38
Love Song,Sara Bareilles,1,2007,77,258826,https://i.scdn.co/image/ab67616d0000b2731c3e0a58f3ee28af2922e351
Summer Nights - From “Grease”,"John Travolta, Olivia Newton-John",2,1978,71,216906,https://i.scdn.co/image/ab67616d0000b273b68df485f3304211904548a8
Don't Go Breaking My Heart,"Elton John, Kiki Dee",2,1990,62,271133,https://i.scdn.co/image/ab67616d0000b27310a2dbd14d14e7495e7bf7e5
Total Eclipse of the Heart,Bonnie Tyler,1,2009,81,267360,https://i.scdn.co/image/ab67616d0000b2738cefe8e2f2cfd63ce073fa96
I Want It That Way,Backstreet Boys,1,1999,83,213306,https://i.scdn.co/image/ab67616d0000b2732160c02bc56f192df0f4986b
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,1,2013,66,224960,https://i.scdn.co/image/ab67616d0000b273c999354430ff7eac3e0d9bc8
Bye Bye Bye,*NSYNC,1,2000,75,200400,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909
Uptown Girl,Billy Joel,1,1983,82,197706,https://i.scdn.co/image/ab67616d0000b273814cbc4746358a25c84c62e7
Girls Just Want to Have Fun,Cyndi Lauper,1,1983,82,238266,https://i.scdn.co/image/ab67616d0000b27352f532df7ba3269b0242fed9
Africa,TOTO,1,1982,86,295893,https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack","Bill Medley, Jennifer Warnes",2,2004,72,289066,https://i.scdn.co/image/ab67616d0000b273927530e44371f0bc1bb296d4
Walking On Sunshine,Katrina & The Waves,1,1985,81,238733,https://i.scdn.co/image/ab67616d0000b273eafaf556eda644a745d0144d
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,1,1979,70,285373,https://i.scdn.co/image/ab67616d0000b27352038992fc6d7868f31d23b7
You're The One That I Want - From “Grease”,"John Travolta, Olivia Newton-John",2,1978,77,169840,https://i.scdn.co/image/ab67616d0000b273b68df485f3304211904548a8
Livin' On A Prayer,Bon Jovi,1,1986,87,249293,https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac
Mr. Brightside,The Killers,1,2004,79,222586,https://i.scdn.co/image/ab67616d0000b27356a6d6e493a8f338be63fc49
Come On Eileen,Dexys Midnight Runners,1,1982,79,287306,https://i.scdn.co/image/ab67616d0000b2738bd8adbdc4727d9080240905
Y.M.C.A.,Village People,1,1978,67,286666,https://i.scdn.co/image/ab67616d0000b2736effa8520bc566806f680860
Umbrella,"Rihanna, JAY-Z",2,2007,72,275986,https://i.scdn.co/image/ab67616d0000b273b9ff0a5f40d3406aed5e5e3b
Perfect Duet (Ed Sheeran & Beyoncé),"Ed Sheeran, Beyoncé",2,2017,83,259550,https://i.scdn.co/image/ab67616d0000b273af6b2fca3b6e24612a5fe5d8
Someone Like You,Adele,1,2011,82,285240,https://i.scdn.co/image/ab67616d0000b2731c88166762f2e18f8f23c6f1
Make You Feel My Love,Adele,1,2008,77,212040,https://i.scdn.co/image/ab67616d0000b273ed1f35398ed8d3ee33986c11
Bohemian Rhapsody,Queen,1,2006,69,355400,https://i.scdn.co/image/ab67616d0000b2735a7602f0e508660b2ba40f8c
Dancing Queen,ABBA,1,1976,84,230400,https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0
Mamma Mia,ABBA,1,1975,79,213266,https://i.scdn.co/image/ab67616d0000b27392d0747a634fcc351c6ac3c2
A Thousand Miles,Vanessa Carlton,1,2002,80,237493,https://i.scdn.co/image/ab67616d0000b273bc3ada3a19bb4e657f10917e
Unwritten,Natasha Bedingfield,1,2004,81,259333,https://i.scdn.co/image/ab67616d0000b273b337e1ca6629a53c66a3b0d4
My Boo,"Usher, Alicia Keys",2,2004,81,223440,https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da
03' Bonnie & Clyde,"JAY-Z, Beyoncé",2,2002,75,205560,https://i.scdn.co/image/ab67616d0000b273b7c45af95aaf599cee3acf08
Oops!...I Did It Again,Britney Spears,1,2000,82,211160,https://i.scdn.co/image/ab67616d0000b2732aa20611c7fb964a74ab01a6
...Baby One More Time,Britney Spears,1,1999,83,211066,https://i.scdn.co/image/ab67616d0000b2738e49866860c25afffe2f1a02
Lucky,"Jason Mraz, Colbie Caillat",2,2008,78,189613,https://i.scdn.co/image/ab67616d0000b2730f2e51f7121539e221c51161
I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",2,2017,83,247160,https://i.scdn.co/image/ab67616d0000b27363d77f99117b28af9f656918
Just Give Me a Reason (feat. Nate Ruess),"P!nk, Nate Ruess",2,2012,84,242733,https://i.scdn.co/image/ab67616d0000b2739d0f0d226987b449808e7b6f
Everything Has Changed,"Taylor Swift, Ed Sheeran",2,2012,70,245413,https://i.scdn.co/image/ab67616d0000b2731c248e90c3e569f90aef9dec
Cruisin' - Single Edit,"Huey Lewis, Gwyneth Paltrow",2,2006,61,214306,https://i.scdn.co/image/ab67616d0000b2735306ed42ae78f317258c51bb
Like I'm Gonna Lose You (feat. John Legend),"Meghan Trainor, John Legend",2,2015,83,225053,https://i.scdn.co/image/ab67616d0000b2733b11178cccd78ec77fc12dbc
I Got You Babe,Sonny & Cher,1,1965,69,190080,https://i.scdn.co/image/ab67616d0000b2736823f5ab3f87b902c35ef56b
